Catlog,Type,Name,UOM,Purchase_Cost,Purchase_Qty,Margin,MRP_Price,Price,Available_Qty,Available,Rack
Naturalleya,Vegetable,Ambe Halad [Y & W],Kg,100,0,0.5,150,211,0,In_Stock,N/A
Naturalleya,Fruits,Apple (Kashmir),Kg,102,0,0.5,153,155,0,In_Stock,N/A
Naturalleya,Vegetable,Arvi,Kg,0,0,0.5,0,60,0,In_Stock,N/A
Naturalleya,Vegetable - Exotic | Organic,Baby Potato,Bag,32,0,0.5,48,48,0,In_Stock,N/A
Naturalleya,Vegetable,Banana Flower,Pc,30,0,0.5,45,45,0,In_Stock,N/A
Naturalleya,Vegetable,Banana Thor,Kg,35,0,0.5,52.5,55,0,In_Stock,N/A
Naturalleya,Vegetable,Beans French,Kg,50,0,0.5,75,120,0,In_Stock,N/A
Naturalleya,Vegetable,Beetroot,Kg,0,0,0.5,0,72,0,In_Stock,N/A
Naturalleya,Vegetable - Exotic | Organic,Bell Pepper R&Y,Pkt,0,0,0.5,0,80,0,In_Stock,N/A
Naturalleya,Vegetable,Brinjal (Bharta),Kg,60,0,0.5,90,105,0,In_Stock,N/A
Naturalleya,Vegetable,Brinjal (Small - Purple),Kg,50,0,0.5,0,90,0,In_Stock,N/A
Naturalleya,Vegetable,Cabbage,Kg,40,0,0.5,60,66,0,In_Stock,N/A
Naturalleya,Vegetable,Capsicum,Kg,60,0,0.5,90,90,0,In_Stock,N/A
Naturalleya,Vegetable,Carrot,Kg,50,0,0.5,75,75,0,In_Stock,N/A
Naturalleya,Vegetable,Cauliflower,Kg,40,0,0.5,60,70,0,In_Stock,N/A
Naturalleya,Vegetable,Chow Chow,Kg,40,0,0.5,60,70,0,In_Stock,N/A
Naturalleya,Fruits,Coconut,Kg,26,0,0.5,39,40,0,In_Stock,N/A
Naturalleya,Vegetable,Cucumber (Green),Kg,10,0,0.5,15,24,0,In_Stock,N/A
Naturalleya,Vegetable,Cucumber (White),Kg,16,0,0.5,24,36,0,In_Stock,N/A
Naturalleya,Vegetable,Cucumber Madras,Kg,40,0,0.5,60,76,0,In_Stock,N/A
Naturalleya,Beverages,Fresh Juice,Ltr,0,0,0.5,0,0,0,In_Stock,N/A
Naturalleya,Vegetable - Essentials,Garlic - Lahasoon,Kg,106.5,0,0.5,159.75,180,0,In_Stock,N/A
Naturalleya,Vegetable - Essentials,Ginger - Adrak,Kg,30,0,0.5,45,70,0,In_Stock,N/A
Naturalleya,Vegetable,Gourd -  Ash,Kg,50,0,0.5,75,75,0,In_Stock,N/A
